scaling_scheme	activation_precision	4	8	16	32	64	128
PoT	4	N/A	N/A	N/A	63.7078	N/A	N/A
PoT	5	N/A	N/A	N/A	72.3151	N/A	N/A
PoT	6	N/A	N/A	N/A	82.6471	N/A	N/A
PoT	7	N/A	N/A	N/A	93.2430	N/A	N/A
PoT	8	N/A	N/A	N/A	99.2201	N/A	N/A
FP8	4	220.9331	135.9343	93.0490	71.2048	63.4051	57.8426
FP8	5	231.5486	145.3843	101.9399	79.8397	73.5107	67.9718
FP8	6	243.6131	156.1573	112.3822	90.1323	83.9135	78.3009
FP8	7	254.1971	166.1271	121.7849	100.7596	92.6174	86.9791
FP8	8	261.8516	173.6713	129.2740	106.6738	100.6026	94.1874
