# energy per MAC in fJ, systolic pass-through registers amortized over 4 PEs
scaling_scheme	activation_precision	4	8	16	32	64	128
PoT	4	N/A	N/A	N/A	84.5312	N/A	N/A
PoT	5	N/A	N/A	N/A	97.5313	N/A	N/A
PoT	6	N/A	N/A	N/A	121.3906	N/A	N/A
PoT	7	N/A	N/A	N/A	132.5156	N/A	N/A
PoT	8	N/A	N/A	N/A	151.1562	N/A	N/A
FP8	4	446.0000	260.1875	167.3125	113.9063	83.4844	62.4922
FP8	5	473.0000	284.7500	185.1250	127.5000	97.8359	77.8242
FP8	6	519.6250	308.6875	213.0312	150.5938	116.1484	94.1172
FP8	7	538.6250	346.3125	233.3438	165.0469	127.4688	103.9414
FP8	8	575.6250	359.7500	248.5625	182.0312	148.8359	125.8203
